Financing Country  (and entity),Financing Country,Institution,Project Name ,MW, Amount (in USD)  , Amount Sources , Estimated Amount2 , Total Project Value , TPV Sources , EPC Revenue , Insurance cover ,Financial Close Date,Year Financed,Region ,Recipient Country ,Recipient Subregion,Sponsors/Parents,Project Sponsor (GCPT)2,EPC Company,Generator Manufacturer,Turbine Maker,Boiler Maker,Sector Group ,Sector ,Latitude,Longitude,Location Accuracy,Phase ID,URL,Source 1,Source 2,Source 3+,GEMTrackerIDs,GEMTrackerLOC,Other and Chinese Names,OpYEAR,Plant Type ,Coal Mine Size (Mtpa)
Multilateral,Multilateral,Asian Development Bank (ADB),Yerevan Gas-Fired Combined-Cycle Power Project (250 MW),250,"$68,400,000 ",,,,,,,4/16/2018,2018,Europe & Central Asia,Armenia,Yerevan,Renco SpA,#N/A,,,,,Gas,Gas-Fired,,,,,,https://www.adb.org/projects/51090-001/main,,,,,,,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Dalrymple Bay Coal Terminal,,,,,,,,,1/1/2009,2009,Oceania,Australia,,Not identified,#N/A,,,,,Coal - Other/Unspecified,Coal - Transport,,,,,,https://ijglobal.com/data/transaction/29775/prime-infrastructure-portfolio-refinancing-2009,,,,,,,,
United Kingdom,United Kingdom,Royal Bank of Scotland,International Power Hazelwood Refinancing,,"$94,120,000 ",,,,,,,1/21/2010,2010,Oceania,Australia,,Hazelwood Power Finance Pty Ltd,#N/A,,,,,Coal Power Plant,Coal Power Plant and Mining - Existing,,,,,,http://www.ijonline.com/data/transaction/26528/ratch-australia-refinancing-2013,,,,,,,,
Germany,Germany,Kreditanstalt fÌ_r Wiederaufbau (KfW),Newcastle Coal Harbor,,,,,,,,,1/1/2010,2010,Oceania,Australia,,Siemens and Bosch Rexroth,#N/A,,,,,Coal Mining,Coal Mining,,,,,,https://www.kfw-ipex-bank.de/International-financing/KfW-IPEX-Bank/About-KfW-IPEX-Bank/Locations/Singapur/,"http://www.longwalls.com/storyview.asp?storyid=1002411
http://www.longwalls.com/storyview.asp?storyid=1002411
http://www.siemens.com.au/files/SiteCollectionDocuments/aunz_business_overview.pdf
http://www.longwalls.com/storyview.asp?storyid=1002411",,,,,,,
Canada,Canada,Export Development Canada (EDC),Newcastle Coal Infrastructure Group Coal Export Terminal Expansion,,"$47,669,084 ",,,,,,,9/8/2010,2010,Oceania,Australia,,Newcastle Coal Infrastructure Group Pty Ltd.,#N/A,,,,,Coal - Other/Unspecified,Other,,,,,,http://www.edc.ca/EN/About-Us/Disclosure/Reporting-on-Transactions/Pages/signed-cat-a-projects-prior-november-1-2010.aspx,,,,,,,,23
India,India,Export Import Bank of India,NRE No 1 Colliery and NRE Wongawilli Colliery Expansion,,"$12,500,000 ",,,,,,,12/22/2010,2010,Oceania,Australia,,Gujarat NRE Coking Coal Ltd,#N/A,,,,,Coal Mining,Coal Mining - New,,,,,,https://ijglobal.com/data/transaction/21903/nre-no-1-colliery-and-nre-wongawilli-colliery-expansion,,,,,,,,
Italy,Italy,Servizi Assicurativi del Commercio Estero (SACE),Gladstone LNG project (from coal seam),,,,,,,,,12/28/2011,2011,Oceania,Australia,,Saipem,#N/A,,,,,Coal Mining,Coal Mining - LNG from coal seam,,,,,,http://www.sace.it/GruppoSACE/export/sites/default/download/comunicati/2011/20111228_-_PR_-_SACE_-_Santos_-_EN.pdf,,,,,,,,
Germany,Germany,Euler Hermes,Longwall system for underground mining and coal processing plant with transportation system,,"$68,560,473 ",,,,,,,1/1/2011,2011,Oceania,Australia,,Bucyrus Europe GmbH,#N/A,,,,,Coal Mining,Coal Mining,,,,,,http://www.agaportal.de/en/aga/projektinformationen/projektinformation_2011.html,,,,,,,,
Canada,Canada,Export Development Canada (EDC),Newcastle Coal Infrastructure Group Coal Export Terminal Expansion,,"$108,530,916 ",,,,,,,8/1/2011,2011,Oceania,Australia,,Newcastle Coal Infrastructure Group Pty Ltd.,#N/A,,,,,Coal - Other/Unspecified,Other,,,,,,http://www.edc.ca/EN/About-Us/Disclosure/Reporting-on-Transactions/Pages/signed-cat-a-projects-prior-november-1-2010.aspx,,,,,,,,0
China (majority bank),China,China Construction Bank (CCB),Millmerran Coal-fired Power Plant Refinancing ,,"$49,810,000 ",,,,,,,6/15/2012,2012,Oceania,Australia,, InterGen,#N/A,,,,,Coal Power Plant,Coal Power Plant - Existing,-27.9606961,151.2793012,exact,PH213.01,https://bit.ly/2E8nuOY,https://ijglobal.com/data/transaction/25549/millmerran-coal-fired-power-plant-refinancing-2012,http://www.sourcewatch.org/index.php/Millmerran_Power_Station,,,,,,Supercritical,
