Mine ID,Mine Name,Mine Name AKAs,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Operators,Owners,Production or Capacity Data,"Coal Output (Annual, Mt)","Coal Ouput (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Coal Type,Coal Grade,Worforce Size,Reserves Total (Proven & Probable),Proven Reserve,Probable Reserve,Resource (Measured),Resource (Indicated),Resource (Measure + Indicated),"Resource (Total - Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Coalfield,Location,County,"Prefecture, District","State, Province",Country,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Opening Year,Reported Life of Mine (Remaining)
M1286,A-North Coal Mine,,https://www.gem.wiki/A_North_coal_mine,,Proposed,Pre-Permit,,,Sarawak Energy Resources,Sarawak Energy,Capacity,1,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,-,-,-,-,-,-,50,,Sarawak,Jalan Bukut,Baligian,Mukah Division,Sarawak,Malaysia,South East Asia,2.7408969,112.4729203,Exact,Coal Plant,Balingian New Power Station,https://www.gem.wiki/Balingian_New_power_station,,
M1372,Abakansky Coal Mine,Абаканский,https://www.gem.wiki/Abakansky_coal_mine,,Operating,,,,Siberian Coal Energy Company (SUEK),Siberian Coal Energy Company (SUEK),Production,1,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,39,-,-,-,-,-,-,39,,Solnechnoye,,Ust-Abakanskiy,Khakassia,Russia,Eurasia,53.687355,91.146698,Exact,,,,,
M1435,Abayskaya Coal Mine,"Абайская, Абай",https://www.gem.wiki/Abayskaya_coal_mine,,Operating,,,,ArcelorMittal Temirtau JSC,ArcelorMittal,Production,1,,Underground,,,500,Estimate,Bituminous,,,-,-,-,-,-,-,-,,Karaganda,Volny,,Abay,Karaganda,Kazakhstan,Eurasia,49.68629,72.75919,Exact,,,,1954,
M0650,ABB Coal Mine,,https://www.gem.wiki/Asmin_Bara_Bronang_coal_mine,,Operating,,,,Asmin Bara Bronang,"United Tractors, Tbk",Production,5,,Surface,Open Pit,249,50,Estimate,Subbituminous,Thermal,,65,-,-,-,-,-,112,13,Barito,,Kapuas Hulu,Kapuas,Central Kalimantan,Indonesia,South East Asia,-0.989742,114.416514,Exact,Terminal (Export),Paring Lahung Port,,2013,22
M0651,ABK Coal Mines,"Purwajaya Block, Multi Sarana Avindo (MSA), Kendisan Block, Welarco Subur Jaya (WSJ),Gerbang Daya Mandiri (GDM)",https://www.gem.wiki/Anugerah_Bara_Kaltim_coal_mines,,Operating,,,,Anugerah Bara Kaltim,Anugerah Bara Kaltim,Production,6,,Surface,Open Pit,69,50,Estimate,Subbituminous,Thermal,,-,-,-,-,-,-,-,,Kutai,Samarinda,,,East Kalimantan,Indonesia,South East Asia,-0.430956,117.268994,Approximate,Terminal (Export),Bakungan Port,,1997,
M0652,ABN Coal Mine,ABN East/ABN West,https://www.gem.wiki/Adminitra_Baratama_Nusantara_coal_mine,,Operating,,,,Adminitra Baratama Nusantara,Toba Sejahtra,Production,3.7,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,117,-,-,-,-,-,115,32,,Sanga-Sanga,,Kutai Kartanegara Regency,East Kalimantan,Indonesia,South East Asia,-0.687029,117.243974,Exact,,,,2004,9
M0653,ABP Coal Mine,,https://www.gem.wiki/Alamjaya_Bara_Pratama_(ABP)_coal_mine,,Operating,,,,Alamjaya Bara Pratama,"Silvi Agustina (84%), Others (16%)",Production,4,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,14,-,-,-,-,-,18,4,,,Loa Kulu,Kutai Kartanegara Regency,East Kalimantan,Indonesia,South East Asia,-0.595281,116.975981,Exact,,,,2015,3
M0985,Absaloka Coal Mine,,https://www.gem.wiki/Absaloka_Mine,,Operating,,,,Westmoreland,Westmoreland,Production,2.8,3.1,Surface,Open Pit,,75,Estimate,Subbituminous,Thermal,150,25,-,-,-,-,-,-,9,Powder River Basin,Hardin,,,Montana,United States,US & Canada,45.804333,-107.045116,Exact,,,,,
M0464,Adasa Coal Mine,,https://www.gem.wiki/Adasa_Coal_Mine,,Proposed,Construction,Expansion,,Western Coalfields Limited (WCL),Coal India,Capacity,1,,Surface,Open Pit,5.90,50,Estimate,Subbituminous,Thermal,,22,-,-,-,-,-,-,22,Kamptee,Kotodi,Saoner,Nagpur,Maharashtra,India,South Asia,21.347003,78.953545,Exact,,,,2020,18
M0465,Adriyala Coal Mine,ALP,https://www.gem.wiki/Adriyala_coal_mine,,Operating,,,,Singareni Collieries Company Limited (SCCL),Coal india,Production,2.1,,Underground,,,300,Estimate,Subbituminous,Thermal,,37.678,-,-,-,-,-,96.176,18,Mancherial,,,,Telangana,India,South Asia,18.6648,79.579,Exact,,,,,
