Region,Country,Plant name,Unit name,Fuel,Capacity elec. (MW),Status,Technology,CHP,Start year,Retired year,Planned retire,Sponsor,Sponsor LEI,Parent,Parent LEI,Parent HQ country,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",GEM location ID,GEM unit ID,WEPP location ID,WEPP unit ID,Other IDs (location),Other IDs (unit),Plant name (local script),Other plant names,Wiki URL
Africa and Middle East,Bahrain,Al Dur Phase II Power Plant,1,NG,1524.6,proposed,CC,not found,2022,,,AWCA Power [60%]; Mitsui & Co [30%]; Almoayyed Contracting Group [10%],not found,ACWA Power (International Company for Water and Power Projects) [60%]; Mitsui & Co Ltd [30%]; Almoayyed Contracting Group [10%],558600Y0TFKRV2QZ1A74; 2NRSB4GOU9DD6CNW5R48; not found,Saudi Arabia; Japan; Bahrain,25.968589,50.608343,exact,Al Dur,,Southern Governorate,,L405454,G404586,,,,,,,
Africa and Middle East,Bahrain,Al Ezzel Power Plant,CC 1,NG,471,operating,CC,N,2006-2007,,,Al Ezzel Operation and Maintenance Company (AEOM),not found,Engie SA [0%]; BlackRock [0%],LAXUQCHT4FH58LRZDY46; 549300LRIF3NWCU26A80,France; United States,26.21753,50.6595,exact,Al Hidd,,Muharraq Governorate,,L405455,G404587,1059017,,"{'WRI': 'WRI1023713', 'GEO': 'GEO3035'}",,محطة العزل لإنتاج الكهرباء,El Ezzel CCGT Power Plant Bahrain,
Africa and Middle East,Bahrain,Al Ezzel Power Plant,CC 2,NG,471,operating,CC,N,2006-2007,,,Al Ezzel Operation and Maintenance Company (AEOM),not found,Engie SA [0%]; BlackRock [0%],LAXUQCHT4FH58LRZDY46; 549300LRIF3NWCU26A80,France; United States,26.21753,50.6595,exact,Al Hidd,,Muharraq Governorate,,L405455,G404588,1059017,,"{'WRI': 'WRI1023713', 'GEO': 'GEO3035'}",,محطة العزل لإنتاج الكهرباء,El Ezzel CCGT Power Plant Bahrain,
Africa and Middle East,Bahrain,Aluminium Bahrain (ALBA) Power Station,5,NG,1792,proposed,CC,,2018,,,Aluminium Bahrain B.S.C,not found,Bahrain Mumtalakat Holding Company [69.38%]; SABIC Investment Company [20.62%]; other [10%],not found; not found; not found,Bahrain; Bahrain; not found,26.091182,50.594559,exact,Mazrowiah,,Southern Governorate,,L405456,G404601,,,,,,ALBA Power Station,
Africa and Middle East,Bahrain,Hidd Power and Water station 1,1,NG,929,operating,CC,Y,1994-2003,,,Hidd Power Company (BSC),not found,MMC Corporation Berhad [40%]; Engie SA [30%]; Sumitomo Corporation [30%],not found; LAXUQCHT4FH58LRZDY46; V82KK8NH1P0JS71FJC05,Malaysia; France; Japan,26.2223,50.6621,exact,Al Hidd,,Muharraq Governorate,,L405457,G404589,1022798,,"{'WRI': 'WRI1023712', 'GEO': 'GEO3535'}",,,"Al Hidd power plant, Al-Hidd IWPP",
Africa and Middle East,Bahrain,Rifa'a Power Plant,1 G 1,NG/FO/D,50,operating,GT,N,1978,,,Electricity and Water Authority of Bahrain,not found,Electricity and Water Authority of Bahrain [100%],not found,Bahrain,26.120268,50.589518,exact,Riffa,,Southern Governorate,,L405458,G404590,1022802,1143301,{'WRI': 'WRI1023715'},,,Al Riffa Power Station,
Africa and Middle East,Bahrain,Rifa'a Power Plant,1 G 2,NG/FO/D,50,operating,GT,N,1978,,,Electricity and Water Authority of Bahrain,not found,Electricity and Water Authority of Bahrain [100%],not found,Bahrain,26.120268,50.589518,exact,Riffa,,Southern Governorate,,L405458,G404591,1022802,1143302,{'WRI': 'WRI1023715'},,,Al Riffa Power Station,
Africa and Middle East,Bahrain,Rifa'a Power Plant,1 G 3,NG/FO/D,50,operating,GT,N,1978,,,Electricity and Water Authority of Bahrain,not found,Electricity and Water Authority of Bahrain [100%],not found,Bahrain,26.120268,50.589518,exact,Riffa,,Southern Governorate,,L405458,G404592,1022802,1143303,{'WRI': 'WRI1023715'},,,Al Riffa Power Station,
Africa and Middle East,Bahrain,Rifa'a Power Plant,1 G 4,NG/FO/D,50,operating,GT,N,1978,,,Electricity and Water Authority of Bahrain,not found,Electricity and Water Authority of Bahrain [100%],not found,Bahrain,26.120268,50.589518,exact,Riffa,,Southern Governorate,,L405458,G404593,1022802,1143304,{'WRI': 'WRI1023715'},,,Al Riffa Power Station,
Africa and Middle East,Bahrain,Rifa'a Power Plant,1 G 5,NG/FO/D,50,operating,GT,N,1978,,,Electricity and Water Authority of Bahrain,not found,Electricity and Water Authority of Bahrain [100%],not found,Bahrain,26.120268,50.589518,exact,Riffa,,Southern Governorate,,L405458,G404594,1022802,1143305,{'WRI': 'WRI1023715'},,,Al Riffa Power Station,
